Name,APID,Element,StreamName,ShortDescription,LongDescription,PrimaryHeader,SecondaryHeader,Trailer
des_hk,11,suncet_bus,,"DES Housekeeping Packet",,,,
des_task,14,suncet_bus,,"DES Task Diag Packet",,,,
des_time,19,suncet_bus,,"DES Task Timing Packet",,,,
fp_hk,7,suncet_bus,,"FP Housekeeping packet",,,,
fp_test,22,suncet_bus,,"FP Test Packet",,,,
flash_hk,37,suncet_bus,,"Flash Hk Packet",,,,
seq_hk,5,suncet_bus,,"Sequence Housekeeping Packet",,,,
storage_hk,21,suncet_bus,,"Storage Housekeeping Packet",,,,
uhf_hk,33,suncet_bus,,"UHF Housekeeping Packet",,,,
payload_hk,16,suncet_bus,,"Payload Housekeeping Packet",,,,
battery_ana_0,28,suncet_bus,,"Battery Analog Packet",,,,
adcs_hk,39,suncet_bus,,"ADCS Housekeeping Packet",,,,
lib_hk,2,suncet_bus,,"Library Housekeeping Packet",,,,
log_msg,20,suncet_bus,,"Format of Event Message",,,,
log_hk,15,suncet_bus,,"Log Housekeeping Packet",,,,
mem_hk,3,suncet_bus,,"Memory Housekeeping Packet",,,,
mem_dump,6,suncet_bus,,"Memory Dump Packet",,,,
tlm_hk,17,suncet_bus,,"Telemetry Hk Packet",,,,
tbl_hk,8,suncet_bus,,"Table Housekeeping Packet",,,,
adcs_tlm_proc,41,suncet_bus,,"ADCS Tlm_proc Packet",,,,
adcs_general,43,suncet_bus,,"ADCS General Packet",,,,
adcs_time,44,suncet_bus,,"ADCS Time Packet",,,,
adcs_refs,45,suncet_bus,,"ADCS Refs Packet",,,,
adcs_att_det,46,suncet_bus,,"ADCS Att_det Packet",,,,
adcs_att_cmd,47,suncet_bus,,"ADCS Att_cmd Packet",,,,
adcs_rw_drive,48,suncet_bus,,"ADCS Rw_drive Packet",,,,
adcs_tracker,49,suncet_bus,,"ADCS Tracker Packet",,,,
adcs_att_ctrl,50,suncet_bus,,"ADCS Att_ctrl Packet",,,,
adcs_momentum,51,suncet_bus,,"ADCS Momentum Packet",,,,
adcs_css,52,suncet_bus,,"ADCS Css Packet",,,,
adcs_mag,53,suncet_bus,,"ADCS Mag Packet",,,,
adcs_imu,54,suncet_bus,,"ADCS Imu Packet",,,,
adcs_clock_sync,55,suncet_bus,,"ADCS Clock_sync Packet",,,,
adcs_analogs,56,suncet_bus,,"ADCS Analogs Packet",,,,
adcs_tables,57,suncet_bus,,"ADCS Tables Packet",,,,
adcs_tracker_2,58,suncet_bus,,"ADCS Tracker_2 Packet",,,,
adcs_gps,59,suncet_bus,,"ADCS Gps Packet",,,,
adcs_cal,60,suncet_bus,,"ADCS Cal Packet",,,,
adcs_tracker_ctrl,61,suncet_bus,,"ADCS Tracker_ctrl Packet",,,,
adcs_ext_tracker_2,62,suncet_bus,,"ADCS Ext_tracker_2 Packet",,,,
eps_hk,30,suncet_bus,,"EPS Housekeeping Packet",,,,
ana_hk,27,suncet_bus,,"Analog Status Packet",,,,
hw_hk,4,suncet_bus,,"Hardware Status Packet",,,,
version,36,suncet_bus,,"Version Status Packet",,,,
sw_stat,1,suncet_bus,,"Software Status Packet",,,,
mode_hk,2600,suncet_bus,,"mode Housekeeping Packet",,,,
xband_hk_pkt,40,suncet_bus,,"",,,,
xband_register_pkt,69,suncet_bus,,"",,,,
csie_meta,26,suncet_bus,,"CSIE Meta Packet",,,,
csie_data,24,suncet_bus,,"CSIE Data Packet",,,,
playback,68,suncet_bus,,"Playback Packet",,,,
dsps_log, 23, dsps,,"Dual-SPS Log Packet",,,,
dsps_param, 25, dsps,,"Dual-SPS Param Packet",,,,
dsps_time, 29, dsps,,"Dual-SPS Time Packet",,,,
dsps_data, 35, dsps,,"Dual-SPS Data Packet",,,,

